Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Wydad,Recovery,,1,,,,,24,0,0.0703,0.2741,,
Wydad,Recovery,,1,,,,,24,0,0.6016,0.2773,,
Wydad,Recovery,,1,,,,,24,0,0.3281,0.0841,,
Wydad,Recovery,,1,,,,,24,0,0.3047,0.1153,,
Wydad,Recovery,,1,,,,,24,0,0.2988,0.1402,,
Wydad,Recovery,,1,,,,,24,0,0.3730,0.0280,,
Wydad,Recovery,,1,,,,,24,0,0.3164,0.2492,,
Wydad,Recovery,,1,,,,,24,0,0.4531,0.4642,,
Wydad,Recovery,,1,,,,,24,0,0.3203,0.2336,,
Wydad,Recovery,,1,,,,,24,0,0.5254,0.5545,,
Wydad,Recovery,,1,,,,,18,0,0.4141,0.2118,,
Wydad,Recovery,,1,,,,,18,0,0.7227,0.4455,,
Wydad,Recovery,,1,,,,,18,0,0.6113,0.4081,,
Wydad,Recovery,,1,,,,,18,0,0.7051,0.6137,,
Wydad,Recovery,,1,,,,,18,0,0.7188,0.9595,,
Wydad,Recovery,,1,,,,,18,0,0.6914,0.9283,,
Wydad,Recovery,,1,,,,,18,0,0.5898,0.7944,,
Wydad,Recovery,,1,,,,,18,0,0.4512,0.5514,,
Wydad,Recovery,,1,,,,,18,0,0.6738,0.3832,,
Wydad,Recovery,,1,,,,,3,0,0.1211,0.5888,,
Wydad,Recovery,,1,,,,,3,0,0.2969,0.6729,,
Wydad,Recovery,,1,,,,,3,0,0.3223,0.7072,,
Wydad,Recovery,,1,,,,,3,0,0.3203,0.8131,,
Wydad,Recovery,,1,,,,,3,0,0.4121,0.8754,,
Wydad,Recovery,,1,,,,,3,0,0.4160,0.9283,,
Wydad,Recovery,,1,,,,,3,0,0.4531,0.7632,,
Wydad,Recovery,,1,,,,,3,0,0.6191,0.9626,,
Wydad,Recovery,,1,,,,,3,0,0.4531,0.5358,,
Wydad,Recovery,,1,,,,,20,0,0.4375,0.4393,,
Wydad,Recovery,,1,,,,,20,0,0.4570,0.5109,,
Wydad,Recovery,,1,,,,,20,0,0.4668,0.2960,,
Wydad,Recovery,,1,,,,,20,0,0.5527,0.5078,,
Wydad,Recovery,,1,,,,,20,0,0.9199,0.1215,,
Wydad,Recovery,,1,,,,,20,0,0.5977,0.9034,,
Wydad,Recovery,,1,,,,,20,0,0.6504,0.5545,,
Wydad,Recovery,,1,,,,,20,0,0.5352,0.2991,,
Wydad,Recovery,,1,,,,,22,0,0.6738,0.2305,,
Wydad,Recovery,,1,,,,,22,0,0.6875,0.6324,,
Wydad,Recovery,,1,,,,,22,0,0.7168,0.8131,,
Wydad,Recovery,,1,,,,,22,0,0.8711,0.9564,,
Wydad,Recovery,,1,,,,,22,0,0.4707,0.8598,,
Wydad,Recovery,,1,,,,,22,0,0.3438,0.8474,,
Wydad,Recovery,,1,,,,,22,0,0.2441,0.7570,,
Wydad,Recovery,,1,,,,,22,0,0.5430,0.8318,,
Wydad,Recovery,,1,,,,,4,0,0.5430,0.1277,,
Wydad,Recovery,,1,,,,,4,0,0.3594,0.7259,,
Wydad,Recovery,,1,,,,,4,0,0.6719,0.8442,,
Wydad,Recovery,,1,,,,,4,0,0.8301,0.9408,,
Wydad,Recovery,,1,,,,,4,0,0.3457,0.9065,,
Wydad,Recovery,,1,,,,,4,0,0.6367,0.9502,,
Wydad,Recovery,,1,,,,,26,0,0.1270,0.7134,,
Wydad,Recovery,,1,,,,,26,0,0.2207,0.7103,,
Wydad,Recovery,,1,,,,,26,0,0.2148,0.7445,,
Wydad,Recovery,,1,,,,,26,0,0.2461,0.9439,,
Wydad,Recovery,,1,,,,,26,0,0.1348,0.5514,,
Wydad,Recovery,,1,,,,,26,0,0.1484,0.4361,,
Wydad,Recovery,,1,,,,,28,0,0.1289,0.4361,,
Wydad,Recovery,,1,,,,,28,0,0.4473,0.2087,,
Wydad,Recovery,,1,,,,,28,0,0.7363,0.2243,,
Wydad,Recovery,,1,,,,,28,0,0.3574,0.8193,,
Wydad,Recovery,,1,,,,,28,0,0.7129,0.9159,,
Wydad,Recovery,,1,,,,,14,0,0.2773,0.1277,,
Wydad,Recovery,,1,,,,,14,0,0.4473,0.0997,,
Wydad,Recovery,,1,,,,,14,0,0.5410,0.4050,,
Wydad,Recovery,,1,,,,,14,0,0.3418,0.2710,,
Wydad,Recovery,,1,,,,,7,0,0.7578,0.3115,,
Wydad,Recovery,,1,,,,,7,0,0.9492,0.1059,,
Wydad,Recovery,,1,,,,,7,0,0.2383,0.2461,,
Wydad,Recovery,,1,,,,,5,0,0.3066,0.5950,,
Wydad,Recovery,,1,,,,,5,0,0.3164,0.8941,,
Wydad,Recovery,,1,,,,,5,0,0.6348,0.7508,,
Wydad,Recovery,,1,,,,,11,0,0.9023,0.5826,,
Wydad,Recovery,,1,,,,,11,0,0.4648,0.9128,,
Wydad,Recovery,,1,,,,,9,0,0.6172,0.7601,,
Wydad,Recovery,,1,,,,,9,0,0.9512,0.7352,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
